TABLEID:Item Journal Line
*Journal Template Name	*Journal Batch Name	*Line No.	*Item No.	*Posting Date	*Entry Type	*Document No.	*Location Code	*Quantity	*Unit Amount	*Unit Cost	*Amount	*Discount Amount	*Expiration Date	*Lot No.
ITEM	NWVDEMO	10000	10000	03/22/26	Purchase	PR260322	W0003	55	0.9	0.9	49.5	0		
ITEM	NWVDEMO	20000	10000	03/22/26	Purchase	PR260322	W0003	55	0.9	0.9	49.5	0		
ITEM	NWVDEMO	30000	10000	03/22/26	Purchase	PR260322	W0003	55	0.9	0.9	49.5	0		
ITEM	NWVDEMO	40000	10045	03/22/26	Purchase	PR260322	W0003	55	0.45	0.45	24.75	0		
ITEM	NWVDEMO	50000	10045	03/22/26	Purchase	PR260322	W0003	55	0.45	0.45	24.75	0		
ITEM	NWVDEMO	60000	10070	03/22/26	Purchase	PR260322	W0003	50	0.5	0.5	25	0		
ITEM	NWVDEMO	70000	10070	03/22/26	Purchase	PR260322	W0003	50	0.5	0.5	25	0		
ITEM	NWVDEMO	80000	10070	03/22/26	Purchase	PR260322	W0003	50	0.5	0.5	25	0		
ITEM	NWVDEMO	90000	10100	03/22/26	Purchase	PR260322	W0003	58	1.7	1.7	98.6	0		
ITEM	NWVDEMO	100000	10100	03/22/26	Purchase	PR260322	W0003	58	1.7	1.7	98.6	0		
ITEM	NWVDEMO	110000	18200	03/22/26	Purchase	PR260322	W0003	87	0.95	0.95	82.65	0		
ITEM	NWVDEMO	120000	18200	03/22/26	Purchase	PR260322	W0003	87	0.95	0.95	82.65	0		
ITEM	NWVDEMO	130000	18200	03/22/26	Purchase	PR260322	W0003	89	0.95	0.95	84.55	0		
ITEM	NWVDEMO	140000	18230	03/22/26	Purchase	PR260322	W0003	63	0.95	0.95	59.85	0		
ITEM	NWVDEMO	150000	18230	03/22/26	Purchase	PR260322	W0003	63	0.95	0.95	59.85	0		
ITEM	NWVDEMO	160000	18230	03/22/26	Purchase	PR260322	W0003	63	0.95	0.95	59.85	0		
ITEM	NWVDEMO	170000	30091	03/22/26	Purchase	PR260322	W0003	37	2.8	2.8	103.6	0		
ITEM	NWVDEMO	180000	30091	03/22/26	Purchase	PR260322	W0003	38	2.8	2.8	106.4	0		
ITEM	NWVDEMO	190000	33100	03/22/26	Purchase	PR260322	W0003	57	1	1	57	0	03/24/26	L260322-33100A
ITEM	NWVDEMO	200000	33100	03/22/26	Purchase	PR260322	W0003	57	1	1	57	0	03/26/26	L260322-33100B
ITEM	NWVDEMO	210000	33100	03/22/26	Purchase	PR260322	W0003	59	1	1	59	0	03/24/26	L260322-33100C
ITEM	NWVDEMO	220000	33110	03/22/26	Purchase	PR260322	W0003	53	1.2	1.2	63.6	0	03/26/26	L260322-33110A
ITEM	NWVDEMO	230000	33110	03/22/26	Purchase	PR260322	W0003	53	1.2	1.2	63.6	0	03/25/26	L260322-33110B
ITEM	NWVDEMO	240000	33110	03/22/26	Purchase	PR260322	W0003	53	1.2	1.2	63.6	0	03/24/26	L260322-33110C
ITEM	NWVDEMO	250000	33116	03/22/26	Purchase	PR260322	W0003	49	0.78	0.78	38.22	0	03/26/26	L260322-33116A
ITEM	NWVDEMO	260000	33116	03/22/26	Purchase	PR260322	W0003	50	0.78	0.78	39	0	03/27/26	L260322-33116B
ITEM	NWVDEMO	270000	33120	03/22/26	Purchase	PR260322	W0003	30	6.5	6.5	195	0		
ITEM	NWVDEMO	280000	33130	03/22/26	Purchase	PR260322	W0003	37	7.1	7.1	262.7	0	03/29/26	L260322-33130
ITEM	NWVDEMO	290000	33150	03/22/26	Purchase	PR260322	W0003	48	7.5	7.5	360	0		
ITEM	NWVDEMO	300000	33150	03/22/26	Purchase	PR260322	W0003	48	7.5	7.5	360	0		
ITEM	NWVDEMO	310000	33160	03/22/26	Purchase	PR260322	W0003	24	5.5	5.5	132	0	03/29/26	L260322-33160A
ITEM	NWVDEMO	320000	33160	03/22/26	Purchase	PR260322	W0003	25	5.5	5.5	137.5	0	03/30/26	L260322-33160B
ITEM	NWVDEMO	330000	33170	03/22/26	Purchase	PR260322	W0003	37	5.5	5.5	203.5	0	03/28/26	L260322-33170A
ITEM	NWVDEMO	340000	33170	03/22/26	Purchase	PR260322	W0003	37	5.5	5.5	203.5	0	03/28/26	L260322-33170B
ITEM	NWVDEMO	350000	33200	03/22/26	Purchase	PR260322	W0003	127	4.2	4.2	533.4	0		
ITEM	NWVDEMO	360000	33200	03/22/26	Purchase	PR260322	W0003	127	4.2	4.2	533.4	0		
ITEM	NWVDEMO	370000	33200	03/22/26	Purchase	PR260322	W0003	129	4.2	4.2	541.8	0		
ITEM	NWVDEMO	380000	33250	03/22/26	Purchase	PR260322	W0003	111	4.1	4.1	455.1	0		
ITEM	NWVDEMO	390000	33250	03/22/26	Purchase	PR260322	W0003	111	4.1	4.1	455.1	0		
ITEM	NWVDEMO	400000	33250	03/22/26	Purchase	PR260322	W0003	113	4.1	4.1	463.3	0		
ITEM	NWVDEMO	410000	33310	03/22/26	Purchase	PR260322	W0003	420	1.1	1.1	462	0	11/28/26	L260322-33310A
ITEM	NWVDEMO	420000	33310	03/22/26	Purchase	PR260322	W0003	420	1.1	1.1	462	0	12/06/26	L260322-33310B
ITEM	NWVDEMO	430000	33310	03/22/26	Purchase	PR260322	W0003	421	1.1	1.1	463.1	0	12/04/26	L260322-33310C
ITEM	NWVDEMO	440000	33323	03/22/26	Purchase	PR260322	W0003	327	1.1	1.1	359.7	0	11/04/26	L260322-33323A
ITEM	NWVDEMO	450000	33323	03/22/26	Purchase	PR260322	W0003	327	1.1	1.1	359.7	0	11/26/26	L260322-33323B
ITEM	NWVDEMO	460000	33323	03/22/26	Purchase	PR260322	W0003	327	1.1	1.1	359.7	0	12/10/26	L260322-33323C
ITEM	NWVDEMO	470000	33341	03/22/26	Purchase	PR260322	W0003	140	2.1	2.1	294	0	10/01/26	L260322-33341A
ITEM	NWVDEMO	480000	33341	03/22/26	Purchase	PR260322	W0003	140	2.1	2.1	294	0	10/05/26	L260322-33341B
ITEM	NWVDEMO	490000	33341	03/22/26	Purchase	PR260322	W0003	140	2.1	2.1	294	0	08/31/26	L260322-33341C
ITEM	NWVDEMO	500000	10000	03/22/26	Positive Adjmt.	TR260322	S0001	55	0.9	0.9	49.5	0		
ITEM	NWVDEMO	510000	10000	03/22/26	Positive Adjmt.	TR260322	S0001	28	0.9	0.9	25.2	0		
ITEM	NWVDEMO	520000	10000	03/22/26	Positive Adjmt.	TR260322	S0002	27	0.9	0.9	24.3	0		
ITEM	NWVDEMO	530000	10000	03/22/26	Positive Adjmt.	TR260322	S0002	37	0.9	0.9	33.3	0		
ITEM	NWVDEMO	540000	10000	03/22/26	Positive Adjmt.	TR260322	S0013	18	0.9	0.9	16.2	0		
ITEM	NWVDEMO	550000	10045	03/22/26	Positive Adjmt.	TR260322	S0001	55	0.45	0.45	24.75	0		
ITEM	NWVDEMO	560000	10045	03/22/26	Positive Adjmt.	TR260322	S0001	55	0.45	0.45	24.75	0		
ITEM	NWVDEMO	570000	10070	03/22/26	Positive Adjmt.	TR260322	S0001	50	0.5	0.5	25	0		
ITEM	NWVDEMO	580000	10070	03/22/26	Positive Adjmt.	TR260322	S0001	48	0.5	0.5	24	0		
ITEM	NWVDEMO	590000	10070	03/22/26	Positive Adjmt.	TR260322	S0002	2	0.5	0.5	1	0		
