TABLEID:Lot No. Information
*Item No.	*Variant Code	*Lot No.	*Description	*Test Quality	*Certificate Number	*Blocked	*Country/Region Code
33100		L260322-33100A	HSD 24/03/2026	 		No	
33100		L260322-33100B	HSD 26/03/2026	 		No	
33100		L260322-33100C	HSD 24/03/2026	 		No	
33100		L260324-33100A	HSD 28/03/2026	 		No	
33100		L260324-33100B	HSD 26/03/2026	 		No	
33100		L260326-33100A	HSD 28/03/2026	 		No	
33100		L260326-33100B	HSD 29/03/2026	 		No	
33100		L260328-33100	HSD 30/03/2026	 		No	
33100		L260330-33100A	HSD 02/04/2026	 		No	
33100		L260330-33100B	HSD 03/04/2026	 		No	
33100		L260401-33100A	HSD 05/04/2026	 		No	
33100		L260401-33100B	HSD 04/04/2026	 		No	
33100		L260401-33100C	HSD 03/04/2026	 		No	
33100		L260405-33100A	HSD 09/04/2026	 		No	
33100		L260405-33100B	HSD 09/04/2026	 		No	
33100		L260407-33100A	HSD 09/04/2026	 		No	
33100		L260407-33100B	HSD 11/04/2026	 		No	
33100		L260407-33100C	HSD 11/04/2026	 		No	
33100		L260409-33100	HSD 11/04/2026	 		No	
33100		L260411-33100A	HSD 15/04/2026	 		No	
33100		L260411-33100B	HSD 13/04/2026	 		No	
33100		L260413-33100A	HSD 15/04/2026	 		No	
33100		L260413-33100B	HSD 16/04/2026	 		No	
33100		L260413-33100C	HSD 15/04/2026	 		No	
33100		L260415-33100	HSD 18/04/2026	 		No	
33100		L260417-33100A	HSD 20/04/2026	 		No	
33100		L260417-33100B	HSD 19/04/2026	 		No	
33100		L260419-33100A	HSD 23/04/2026	 		No	
33100		L260419-33100B	HSD 22/04/2026	 		No	
33100		L260419-33100C	HSD 23/04/2026	 		No	
33100		L260423-33100A	HSD 25/04/2026	 		No	
33100		L260423-33100B	HSD 25/04/2026	 		No	
33100		L260425-33100A	HSD 29/04/2026	 		No	
33100		L260425-33100B	HSD 29/04/2026	 		No	
33100		L260425-33100C	HSD 29/04/2026	 		No	
33100		L260427-33100	HSD 01/05/2026	 		No	
33100		L260429-33100A	HSD 01/05/2026	 		No	
33100		L260429-33100B	HSD 02/05/2026	 		No	
33100		L260501-33100A	HSD 04/05/2026	 		No	
33100		L260501-33100B	HSD 05/05/2026	 		No	
33100		L260501-33100C	HSD 05/05/2026	 		No	
33100		L260505-33100A	HSD 07/05/2026	 		No	
33100		L260505-33100B	HSD 09/05/2026	 		No	
33100		L260507-33100A	HSD 10/05/2026	 		No	
33100		L260507-33100B	HSD 09/05/2026	 		No	
33100		L260507-33100C	HSD 11/05/2026	 		No	
33100		L260511-33100A	HSD 14/05/2026	 		No	
33100		L260511-33100B	HSD 15/05/2026	 		No	
33100		L260513-33100A	HSD 15/05/2026	 		No	
33100		L260513-33100B	HSD 16/05/2026	 		No	
33100		L260513-33100C	HSD 15/05/2026	 		No	
33100		L260517-33100A	HSD 20/05/2026	 		No	
33100		L260517-33100B	HSD 19/05/2026	 		No	
33100		L260519-33100A	HSD 22/05/2026	 		No	
33100		L260519-33100B	HSD 22/05/2026	 		No	
33100		L260519-33100C	HSD 21/05/2026	 		No	
33100		L260521-33100	HSD 24/05/2026	 		No	
33100		L260523-33100A	HSD 26/05/2026	 		No	
33100		L260523-33100B	HSD 27/05/2026	 		No	
33100		L260523-33100C	HSD 25/05/2026	 		No	
33100		L260525-33100A	HSD 28/05/2026	 		No	
33100		L260525-33100B	HSD 27/05/2026	 		No	
33100		L260525-33100C	HSD 27/05/2026	 		No	
33100		L260527-33100	HSD 29/05/2026	 		No	
33100		L260529-33100A	HSD 31/05/2026	 		No	
33100		L260529-33100B	HSD 31/05/2026	 		No	
33100		L260529-33100C	HSD 01/06/2026	 		No	
33100		L260531-33100A	HSD 04/06/2026	 		No	
33100		L260531-33100B	HSD 02/06/2026	 		No	
33100		L260531-33100C	HSD 02/06/2026	 		No	
33100		L260604-33100A	HSD 08/06/2026	 		No	
33100		L260604-33100B	HSD 08/06/2026	 		No	
33100		L260604-33100C	HSD 07/06/2026	 		No	
33100		L260606-33100A	HSD 08/06/2026	 		No	
33100		L260606-33100B	HSD 08/06/2026	 		No	
33100		L260606-33100C	HSD 08/06/2026	 		No	
33100		L260610-33100A	HSD 14/06/2026	 		No	
33100		L260610-33100B	HSD 12/06/2026	 		No	
33100		L260610-33100C	HSD 12/06/2026	 		No	
33100		L260612-33100A	HSD 14/06/2026	 		No	
33100		L260612-33100B	HSD 14/06/2026	 		No	
33100		L260614-33100	HSD 17/06/2026	 		No	
33100		L260616-33100A	HSD 18/06/2026	 		No	
33100		L260616-33100B	HSD 20/06/2026	 		No	
33100		L260616-33100C	HSD 20/06/2026	 		No	
33100		L260618-33100A	HSD 21/06/2026	 		No	
33100		L260618-33100B	HSD 20/06/2026	 		No	
33100		L260622-33100A	HSD 24/06/2026	 		No	
33100		L260622-33100B	HSD 26/06/2026	 		No	
33100		L260622-33100C	HSD 24/06/2026	 		No	
33100		L260624-33100A	HSD 26/06/2026	 		No	
33100		L260624-33100B	HSD 27/06/2026	 		No	
33100		L260624-33100C	HSD 27/06/2026	 		No	
33100		L260628-33100A	HSD 02/07/2026	 		No	
33100		L260628-33100B	HSD 02/07/2026	 		No	
33100		L260630-33100A	HSD 03/07/2026	 		No	
33100		L260630-33100B	HSD 03/07/2026	 		No	
33100		L260630-33100C	HSD 02/07/2026	 		No	
33100		L260702-33100	HSD 06/07/2026	 		No	
33100		L260704-33100A	HSD 06/07/2026	 		No	
33100		L260704-33100B	HSD 08/07/2026	 		No	
33100		L260706-33100A	HSD 09/07/2026	 		No	
33100		L260706-33100B	HSD 08/07/2026	 		No	
33100		L260706-33100C	HSD 09/07/2026	 		No	
33100		L260708-33100	HSD 11/07/2026	 		No	
33100		L260710-33100A	HSD 13/07/2026	 		No	
33100		L260710-33100B	HSD 12/07/2026	 		No	
33100		L260712-33100A	HSD 15/07/2026	 		No	
33100		L260712-33100B	HSD 16/07/2026	 		No	
33100		L260712-33100C	HSD 14/07/2026	 		No	
33100		L260716-33100A	HSD 18/07/2026	 		No	
33100		L260716-33100B	HSD 18/07/2026	 		No	
33100		L260718-33100A	HSD 22/07/2026	 		No	
33100		L260718-33100B	HSD 22/07/2026	 		No	
33100		L260718-33100C	HSD 20/07/2026	 		No	
33100		L260722-33100A	HSD 26/07/2026	 		No	
33100		L260722-33100B	HSD 25/07/2026	 		No	
33100		L260724-33100A	HSD 28/07/2026	 		No	
33100		L260724-33100B	HSD 28/07/2026	 		No	
33100		L260724-33100C	HSD 28/07/2026	 		No	
33100		L260728-33100A	HSD 30/07/2026	 		No	
33100		L260728-33100B	HSD 31/07/2026	 		No	
33100		L260730-33100A	HSD 01/08/2026	 		No	
33100		L260730-33100B	HSD 02/08/2026	 		No	
33100		L260730-33100C	HSD 02/08/2026	 		No	
33100		L260803-33100A	HSD 07/08/2026	 		No	
33100		L260803-33100B	HSD 07/08/2026	 		No	
33100		L260805-33100A	HSD 08/08/2026	 		No	
33100		L260805-33100B	HSD 08/08/2026	 		No	
33100		L260805-33100C	HSD 08/08/2026	 		No	
33100		L260809-33100A	HSD 13/08/2026	 		No	
33100		L260809-33100B	HSD 11/08/2026	 		No	
33100		L260811-33100A	HSD 14/08/2026	 		No	
33100		L260811-33100B	HSD 14/08/2026	 		No	
33100		L260811-33100C	HSD 14/08/2026	 		No	
33100		L260813-33100	HSD 15/08/2026	 		No	
33100		L260815-33100A	HSD 19/08/2026	 		No	
33100		L260815-33100B	HSD 18/08/2026	 		No	
33100		L260817-33100A	HSD 20/08/2026	 		No	
33100		L260817-33100B	HSD 20/08/2026	 		No	
33100		L260817-33100C	HSD 20/08/2026	 		No	
33100		L260819-33100	HSD 21/08/2026	 		No	
33100		L260821-33100A	HSD 25/08/2026	 		No	
33100		L260821-33100B	HSD 25/08/2026	 		No	
33100		L260823-33100A	HSD 26/08/2026	 		No	
33100		L260823-33100B	HSD 26/08/2026	 		No	
33100		L260823-33100C	HSD 26/08/2026	 		No	
33100		L260827-33100A	HSD 31/08/2026	 		No	
33100		L260827-33100B	HSD 30/08/2026	 		No	
33100		L260829-33100A	HSD 31/08/2026	 		No	
33100		L260829-33100B	HSD 02/09/2026	 		No	
33100		L260829-33100C	HSD 01/09/2026	 		No	
33100		L260902-33100A	HSD 04/09/2026	 		No	
33100		L260902-33100B	HSD 06/09/2026	 		No	
33100		L260904-33100A	HSD 06/09/2026	 		No	
33100		L260904-33100B	HSD 07/09/2026	 		No	
33100		L260904-33100C	HSD 08/09/2026	 		No	
33100		L260908-33100A	HSD 10/09/2026	 		No	
33100		L260908-33100B	HSD 12/09/2026	 		No	
33100		L260910-33100A	HSD 12/09/2026	 		No	
33100		L260910-33100B	HSD 14/09/2026	 		No	
33100		L260910-33100C	HSD 12/09/2026	 		No	
33100		L260914-33100A	HSD 18/09/2026	 		No	
33100		L260914-33100B	HSD 16/09/2026	 		No	
33100		L260916-33100	HSD 19/09/2026	 		No	
33110		L260322-33110A	HSD 26/03/2026	 		No	
33110		L260322-33110B	HSD 25/03/2026	 		No	
33110		L260322-33110C	HSD 24/03/2026	 		No	
33110		L260324-33110A	HSD 26/03/2026	 		No	
33110		L260324-33110B	HSD 27/03/2026	 		No	
33110		L260326-33110A	HSD 28/03/2026	 		No	
33110		L260326-33110B	HSD 29/03/2026	 		No	
33110		L260328-33110A	HSD 01/04/2026	 		No	
33110		L260328-33110B	HSD 30/03/2026	 		No	
33110		L260330-33110A	HSD 02/04/2026	 		No	
33110		L260330-33110B	HSD 01/04/2026	 		No	
33110		L260401-33110A	HSD 05/04/2026	 		No	
33110		L260401-33110B	HSD 05/04/2026	 		No	
33110		L260403-33110A	HSD 07/04/2026	 		No	
33110		L260403-33110B	HSD 05/04/2026	 		No	
33110		L260405-33110A	HSD 08/04/2026	 		No	
33110		L260405-33110B	HSD 08/04/2026	 		No	
33110		L260407-33110A	HSD 09/04/2026	 		No	
33110		L260407-33110B	HSD 10/04/2026	 		No	
33110		L260409-33110A	HSD 13/04/2026	 		No	
33110		L260409-33110B	HSD 11/04/2026	 		No	
33110		L260411-33110A	HSD 15/04/2026	 		No	
33110		L260411-33110B	HSD 15/04/2026	 		No	
33110		L260413-33110A	HSD 16/04/2026	 		No	
33110		L260413-33110B	HSD 16/04/2026	 		No	
33110		L260415-33110A	HSD 18/04/2026	 		No	
33110		L260415-33110B	HSD 19/04/2026	 		No	
33110		L260417-33110A	HSD 20/04/2026	 		No	
33110		L260417-33110B	HSD 19/04/2026	 		No	
33110		L260419-33110A	HSD 22/04/2026	 		No	
33110		L260419-33110B	HSD 23/04/2026	 		No	
33110		L260421-33110A	HSD 25/04/2026	 		No	
33110		L260421-33110B	HSD 25/04/2026	 		No	
33110		L260423-33110A	HSD 27/04/2026	 		No	
33110		L260423-33110B	HSD 25/04/2026	 		No	
33110		L260425-33110A	HSD 27/04/2026	 		No	
33110		L260425-33110B	HSD 28/04/2026	 		No	
33110		L260427-33110A	HSD 01/05/2026	 		No	
33110		L260427-33110B	HSD 29/04/2026	 		No	
33110		L260429-33110A	HSD 01/05/2026	 		No	
33110		L260429-33110B	HSD 01/05/2026	 		No	
33110		L260501-33110A	HSD 04/05/2026	 		No	
33110		L260501-33110B	HSD 04/05/2026	 		No	
33110		L260503-33110A	HSD 06/05/2026	 		No	
33110		L260503-33110B	HSD 07/05/2026	 		No	
33110		L260505-33110A	HSD 07/05/2026	 		No	
33110		L260505-33110B	HSD 09/05/2026	 		No	
33110		L260507-33110A	HSD 10/05/2026	 		No	
33110		L260507-33110B	HSD 10/05/2026	 		No	
33110		L260509-33110A	HSD 11/05/2026	 		No	
33110		L260509-33110B	HSD 11/05/2026	 		No	
33110		L260511-33110A	HSD 14/05/2026	 		No	
33110		L260511-33110B	HSD 13/05/2026	 		No	
