date,item_no,location_code,qty
2026-03-22,10000,S0001,15.0
2026-03-22,10000,S0002,13.0
2026-03-22,10000,S0013,9.0
2026-03-22,10045,S0001,10.0
2026-03-22,10070,S0001,4.0
2026-03-22,10070,S0002,2.0
2026-03-22,10070,S0002,6.0
2026-03-22,10100,S0001,7.0
2026-03-22,10100,S0002,3.0
2026-03-22,10100,S0013,1.0
2026-03-22,18200,S0001,4.0
2026-03-22,18200,S0002,6.0
2026-03-22,18200,S0013,3.0
2026-03-22,18230,S0001,3.0
2026-03-22,18230,S0002,5.0
2026-03-22,18230,S0013,2.0
2026-03-22,30091,S0002,1.0
2026-03-22,30091,S0005,1.0
2026-03-22,33100,S0001,9.0
2026-03-22,33100,S0002,5.0
2026-03-22,33100,S0005,5.0
2026-03-22,33100,S0010,9.0
2026-03-22,33110,S0001,10.0
2026-03-22,33110,S0002,8.0
2026-03-22,33110,S0005,7.0
2026-03-22,33110,S0005,1.0
2026-03-22,33110,S0010,12.0
2026-03-22,33116,S0001,6.0
2026-03-22,33116,S0002,6.0
2026-03-22,33116,S0005,2.0
2026-03-22,33116,S0010,3.0
2026-03-22,33120,S0001,4.0
2026-03-22,33130,S0001,3.0
2026-03-22,33130,S0002,2.0
2026-03-22,33130,S0005,1.0
2026-03-22,33130,S0010,2.0
2026-03-22,33150,S0001,2.0
2026-03-22,33150,S0002,2.0
2026-03-22,33150,S0005,1.0
2026-03-22,33150,S0010,2.0
2026-03-22,33160,S0001,3.0
2026-03-22,33160,S0002,1.0
2026-03-22,33160,S0010,3.0
2026-03-22,33170,S0001,6.0
2026-03-22,33170,S0002,4.0
2026-03-22,33170,S0005,3.0
2026-03-22,33170,S0010,3.0
2026-03-22,33200,S0001,9.0
2026-03-22,33200,S0002,7.0
2026-03-22,33200,S0005,2.0
2026-03-22,33200,S0010,3.0
2026-03-22,33250,S0001,6.0
2026-03-22,33250,S0002,5.0
2026-03-22,33250,S0005,1.0
2026-03-22,33250,S0010,6.0
2026-03-22,33310,S0001,16.0
2026-03-22,33310,S0002,16.0
2026-03-22,33310,S0005,7.0
2026-03-22,33310,S0010,17.0
2026-03-22,33323,S0001,15.0
2026-03-22,33323,S0002,14.0
2026-03-22,33323,S0005,5.0
2026-03-22,33323,S0010,6.0
2026-03-22,33341,S0001,4.0
2026-03-22,33341,S0002,7.0
2026-03-22,33341,S0005,2.0
2026-03-22,33341,S0010,3.0
2026-03-23,10000,S0001,17.0
2026-03-23,10000,S0002,9.0
2026-03-23,10000,S0013,8.0
2026-03-23,10045,S0001,8.0
2026-03-23,10070,S0001,6.0
2026-03-23,10070,S0002,5.0
2026-03-23,10100,S0001,1.0
2026-03-23,10100,S0002,3.0
2026-03-23,10100,S0013,1.0
2026-03-23,18200,S0001,5.0
2026-03-23,18200,S0002,3.0
2026-03-23,18200,S0013,2.0
2026-03-23,18230,S0001,2.0
2026-03-23,18230,S0002,2.0
2026-03-23,30091,S0005,1.0
2026-03-23,33100,S0001,9.0
2026-03-23,33100,S0002,8.0
2026-03-23,33100,S0005,6.0
2026-03-23,33100,S0010,8.0
2026-03-23,33110,S0001,13.0
2026-03-23,33110,S0002,12.0
2026-03-23,33110,S0005,3.0
2026-03-23,33110,S0010,5.0
2026-03-23,33116,S0001,3.0
